Date,Open,High,Low,Close,Adj Close,Volume
2020-08-11,3.930000,3.950000,3.800000,3.810000,3.810000,23370309
2020-08-12,3.800000,3.830000,3.710000,3.790000,3.790000,19307837
2020-08-13,3.760000,3.880000,3.760000,3.820000,3.820000,21642252
2020-08-14,3.800000,3.930000,3.790000,3.920000,3.920000,33313007
2020-08-17,3.930000,3.990000,3.880000,3.960000,3.960000,32749565
2020-08-18,3.960000,3.980000,3.920000,3.940000,3.940000,19165680
2020-08-19,3.950000,4.290000,3.890000,4.040000,4.040000,61016108
2020-08-20,4.010000,4.090000,3.900000,3.940000,3.940000,35919444
2020-08-21,3.960000,3.980000,3.870000,3.890000,3.890000,19979038
2020-08-24,3.910000,3.970000,3.870000,3.940000,3.940000,16823364
2020-08-25,3.930000,3.990000,3.900000,3.920000,3.920000,16703414
2020-08-26,3.900000,3.910000,3.770000,3.780000,3.780000,22049553
2020-08-27,3.800000,3.810000,3.750000,3.800000,3.800000,9613415
2020-08-28,3.800000,3.840000,3.780000,3.830000,3.830000,9570658
2020-08-31,3.870000,3.880000,3.810000,3.820000,3.820000,14522562
2020-09-01,3.820000,3.820000,3.790000,3.810000,3.810000,8132363
2020-09-02,3.820000,3.950000,3.750000,3.880000,3.880000,22033290
2020-09-03,3.850000,3.900000,3.810000,3.830000,3.830000,13970913
2020-09-04,3.770000,3.820000,3.730000,3.810000,3.810000,10873038
2020-09-07,3.790000,3.840000,3.760000,3.780000,3.780000,11349713
2020-09-08,3.760000,3.880000,3.740000,3.870000,3.870000,14851627
2020-09-09,3.840000,3.990000,3.840000,3.920000,3.920000,35344235
2020-09-10,3.960000,3.980000,3.780000,3.810000,3.810000,21858431
2020-09-11,3.830000,3.830000,3.740000,3.810000,3.810000,14103848
2020-09-14,3.800000,3.830000,3.760000,3.800000,3.800000,11582051
2020-09-15,3.790000,3.830000,3.750000,3.810000,3.810000,12035377
2020-09-16,3.800000,3.850000,3.770000,3.800000,3.800000,11972006
2020-09-17,3.790000,3.840000,3.770000,3.800000,3.800000,13005346
2020-09-18,3.800000,3.900000,3.770000,3.890000,3.890000,22734032
2020-09-21,3.930000,3.970000,3.880000,3.900000,3.900000,15438850
2020-09-22,3.870000,3.900000,3.780000,3.810000,3.810000,14357270
2020-09-23,3.810000,3.860000,3.800000,3.810000,3.810000,9389566
2020-09-24,3.790000,3.800000,3.710000,3.720000,3.720000,13519366
2020-09-25,3.720000,3.740000,3.660000,3.690000,3.690000,7414140
2020-09-28,3.700000,3.710000,3.640000,3.650000,3.650000,3698114
2020-09-29,3.680000,3.700000,3.660000,3.680000,3.680000,3938905
2020-09-30,3.680000,3.700000,3.630000,3.640000,3.640000,5419000
2020-10-09,3.670000,3.740000,3.670000,3.710000,3.710000,6231118
